stack_id,language,framework,orm,category_group,view,measurement_category,tokens,loc,file_count,chars,view_tokens,view_loc,view_file_count,view_chars,stack_tokens,stack_loc,stack_file_count,stack_chars,warning_count,manifest_entries,python_version,tokenizer,tiktoken_version,pyyaml_version,tokenization_strategy,file_ordering,manifest_sha256,corpus_sha256,raw_json
django,python,django,django_orm,opinionated,handwritten,api,1313,169,2,6335,2622,359,6,12968,3220,464,12,15554,0,12,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,2fe470d8c446b6e78bbbba23820284a2857c059139234e5051f379515e71b720,e5a2337da754c7dc2cffcb128837194287725d052d8150847dc41e1c6546e4c5,results/raw/django.json
django,python,django,django_orm,opinionated,handwritten,domain,798,122,2,3966,2622,359,6,12968,3220,464,12,15554,0,12,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,2fe470d8c446b6e78bbbba23820284a2857c059139234e5051f379515e71b720,e5a2337da754c7dc2cffcb128837194287725d052d8150847dc41e1c6546e4c5,results/raw/django.json
django,python,django,django_orm,opinionated,handwritten,persistence,511,68,2,2667,2622,359,6,12968,3220,464,12,15554,0,12,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,2fe470d8c446b6e78bbbba23820284a2857c059139234e5051f379515e71b720,e5a2337da754c7dc2cffcb128837194287725d052d8150847dc41e1c6546e4c5,results/raw/django.json
django,python,django,django_orm,opinionated,operational_extras,config,598,105,6,2586,598,105,6,2586,3220,464,12,15554,0,12,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,2fe470d8c446b6e78bbbba23820284a2857c059139234e5051f379515e71b720,e5a2337da754c7dc2cffcb128837194287725d052d8150847dc41e1c6546e4c5,results/raw/django.json
django,python,django,django_orm,opinionated,operational_extras,migrations,0,0,0,0,598,105,6,2586,3220,464,12,15554,0,12,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,2fe470d8c446b6e78bbbba23820284a2857c059139234e5051f379515e71b720,e5a2337da754c7dc2cffcb128837194287725d052d8150847dc41e1c6546e4c5,results/raw/django.json
express,javascript,express,prisma,api_first,handwritten,api,2209,376,9,9235,3546,572,16,14499,3660,587,17,14810,0,17,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,38d9d9fa63f487d51fb38ca9578b6ed66845bbfeb06c5f507fdbb6cf9c6570aa,b19ea72e6700a222a8fe0a01b01db3374d05e931146f1a49e9c446a3a23ad0d2,results/raw/express.json
express,javascript,express,prisma,api_first,handwritten,domain,994,153,4,3873,3546,572,16,14499,3660,587,17,14810,0,17,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,38d9d9fa63f487d51fb38ca9578b6ed66845bbfeb06c5f507fdbb6cf9c6570aa,b19ea72e6700a222a8fe0a01b01db3374d05e931146f1a49e9c446a3a23ad0d2,results/raw/express.json
express,javascript,express,prisma,api_first,handwritten,persistence,343,43,3,1391,3546,572,16,14499,3660,587,17,14810,0,17,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,38d9d9fa63f487d51fb38ca9578b6ed66845bbfeb06c5f507fdbb6cf9c6570aa,b19ea72e6700a222a8fe0a01b01db3374d05e931146f1a49e9c446a3a23ad0d2,results/raw/express.json
express,javascript,express,prisma,api_first,operational_extras,config,114,15,1,311,114,15,1,311,3660,587,17,14810,0,17,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,38d9d9fa63f487d51fb38ca9578b6ed66845bbfeb06c5f507fdbb6cf9c6570aa,b19ea72e6700a222a8fe0a01b01db3374d05e931146f1a49e9c446a3a23ad0d2,results/raw/express.json
express,javascript,express,prisma,api_first,operational_extras,migrations,0,0,0,0,114,15,1,311,3660,587,17,14810,0,17,3.12.13,cl100k_base,0.9.0,6.0.2,pure_content_only,alphabetical_stable,38d9d9fa63f487d51fb38ca9578b6ed66845bbfeb06c5f507fdbb6cf9c6570aa,b19ea72e6700a222a8fe0a01b01db3374d05e931146f1a49e9c446a3a23ad0d2,results/raw/express.json
